"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 00:04:04 GMT 2024","Sun Oct 20 00:04:11 GMT 2024","6969","","","","","","Validate Council Output [BasingstokeCouncil]",""
"passed","Sun Oct 20 00:04:15 GMT 2024","Sun Oct 20 00:04:16 GMT 2024","1174","","","","","","Validate Council Output [BedfordshireCouncil]",""
"passed","Sun Oct 20 00:04:25 GMT 2024","Sun Oct 20 00:04:28 GMT 2024","2998","","","","","","Validate Council Output [DurhamCouncil]",""
"failed","Sun Oct 20 00:32:07 GMT 2024","Sun Oct 20 00:32:10 GMT 2024","2796","","","","","","Validate Council Output [SouthwarkCouncil]",""
"passed","Sun Oct 20 00:18:42 GMT 2024","Sun Oct 20 00:19:11 GMT 2024","29492","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"passed","Sun Oct 20 00:01:16 GMT 2024","Sun Oct 20 00:01:31 GMT 2024","15394","","","","","","Validate Council Output [ArunCouncil]",""
"passed","Sun Oct 20 00:17:24 GMT 2024","Sun Oct 20 00:17:26 GMT 2024","2059","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Sun Oct 20 00:34:57 GMT 2024","Sun Oct 20 00:34:58 GMT 2024","1014","","","","","","Validate Council Output [TelfordAndWrekinCouncil]",""
"passed","Sun Oct 20 00:04:09 GMT 2024","Sun Oct 20 00:05:10 GMT 2024","60849","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Sun Oct 20 00:21:39 GMT 2024","Sun Oct 20 00:22:13 GMT 2024","34682","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"passed","Sun Oct 20 00:17:58 GMT 2024","Sun Oct 20 00:18:19 GMT 2024","20631","","","","","","Validate Council Output [LondonBoroughHounslow]",""
"failed","Sun Oct 20 00:32:48 GMT 2024","Sun Oct 20 00:37:48 GMT 2024","300036","","","","","","Validate Council Output [TendringDistrictCouncil]",""
"passed","Sun Oct 20 00:04:03 GMT 2024","Sun Oct 20 00:04:04 GMT 2024","992","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"passed","Sun Oct 20 00:19:35 GMT 2024","Sun Oct 20 00:19:40 GMT 2024","4359","","","","","","Validate Council Output [NorthEastLincs]",""
"failed","Sun Oct 20 00:37:58 GMT 2024","Sun Oct 20 00:42:58 GMT 2024","300029","","","","","","Validate Council Output [ThreeRiversDistrictCouncil]",""
"passed","Sun Oct 20 00:19:51 GMT 2024","Sun Oct 20 00:21:43 GMT 2024","111703","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil]",""
"passed","Sun Oct 20 00:04:08 GMT 2024","Sun Oct 20 00:04:09 GMT 2024","1098","","","","","","Validate Council Output [BradfordMDC]",""
"passed","Sun Oct 20 00:12:22 GMT 2024","Sun Oct 20 00:16:43 GMT 2024","260648","","","","","","Validate Council Output [BuckinghamshireCouncil]",""
"failed","Sun Oct 20 00:19:24 GMT 2024","Sun Oct 20 00:20:22 GMT 2024","58139","","","","","","Validate Council Output [KnowsleyMBCouncil]",""
"passed","Sun Oct 20 00:12:49 GMT 2024","Sun Oct 20 00:17:19 GMT 2024","270017","","","","","","Validate Council Output [HighPeakCouncil]",""
"passed","Sun Oct 20 00:19:41 GMT 2024","Sun Oct 20 00:19:51 GMT 2024","10540","","","","","","Validate Council Output [NorthLincolnshireCouncil]",""
"passed","Sun Oct 20 00:04:11 GMT 2024","Sun Oct 20 00:04:11 GMT 2024","820","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"failed","Sun Oct 20 00:32:38 GMT 2024","Sun Oct 20 00:34:53 GMT 2024","134465","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Sun Oct 20 00:07:16 GMT 2024","Sun Oct 20 00:16:39 GMT 2024","562523","","","","","","Validate Council Output [ChorleyCouncil]",""
"failed","Sun Oct 20 00:34:58 GMT 2024","Sun Oct 20 00:36:58 GMT 2024","120568","","","","","","Validate Council Output [ValeofWhiteHorseCouncil]",""
"passed","Sun Oct 20 00:22:15 GMT 2024","Sun Oct 20 00:22:23 GMT 2024","8044","","","","","","Validate Council Output [NewportCityCouncil]",""
"failed","Sun Oct 20 00:07:37 GMT 2024","Sun Oct 20 00:12:37 GMT 2024","300011","","","","","","Validate Council Output [HaltonBoroughCouncil]",""
"passed","Sun Oct 20 00:01:19 GMT 2024","Sun Oct 20 00:01:38 GMT 2024","19546","","","","","","Validate Council Output [DacorumBoroughCouncil]",""
"failed","Sun Oct 20 00:38:07 GMT 2024","Sun Oct 20 00:43:07 GMT 2024","300050","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"passed","Sun Oct 20 00:32:34 GMT 2024","Sun Oct 20 00:32:38 GMT 2024","4129","","","","","","Validate Council Output [RotherhamCouncil]",""
"passed","Sun Oct 20 00:05:45 GMT 2024","Sun Oct 20 00:07:28 GMT 2024","103928","","","","","","Validate Council Output [EastRenfrewshireCouncil]",""
"passed","Sun Oct 20 00:43:26 GMT 2024","Sun Oct 20 00:43:28 GMT 2024","1646","","","","","","Validate Council Output [YorkCouncil]",""
"passed","Sun Oct 20 00:31:56 GMT 2024","Sun Oct 20 00:31:57 GMT 2024","730","","","","","","Validate Council Output [SouthLanarkshireCouncil]",""
"passed","Sun Oct 20 00:18:37 GMT 2024","Sun Oct 20 00:18:39 GMT 2024","1110","","","","","","Validate Council Output [HullCityCouncil]",""
"passed","Sun Oct 20 00:04:19 GMT 2024","Sun Oct 20 00:04:19 GMT 2024","721","","","","","","Validate Council Output [EastDevonDC]",""
"passed","Sun Oct 20 00:01:38 GMT 2024","Sun Oct 20 00:01:40 GMT 2024","1579","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Sun Oct 20 00:04:29 GMT 2024","Sun Oct 20 00:06:05 GMT 2024","95913","","","","","","Validate Council Output [GloucesterCityCouncil]",""
"passed","Sun Oct 20 00:32:10 GMT 2024","Sun Oct 20 00:32:11 GMT 2024","957","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil]",""
"passed","Sun Oct 20 00:16:43 GMT 2024","Sun Oct 20 00:16:49 GMT 2024","6014","","","","","","Validate Council Output [LancasterCityCouncil]",""
