"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 05:35:13 GMT 2024","Tue Oct 29 05:35:14 GMT 2024","978","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"passed","Tue Oct 29 05:42:10 GMT 2024","Tue Oct 29 05:42:10 GMT 2024","122","","","","","","Validate Council Output [GedlingBoroughCouncil]",""
"failed","Tue Oct 29 05:35:26 GMT 2024","Tue Oct 29 05:40:27 GMT 2024","300994","","","","","","Validate Council Output [ChelmsfordCityCouncil]",""
"passed","Tue Oct 29 05:58:04 GMT 2024","Tue Oct 29 05:58:06 GMT 2024","1887","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"passed","Tue Oct 29 05:40:29 GMT 2024","Tue Oct 29 05:41:45 GMT 2024","75901","","","","","","Validate Council Output [CheshireWestAndChesterCouncil]",""
"passed","Tue Oct 29 06:08:37 GMT 2024","Tue Oct 29 06:08:48 GMT 2024","10649","","","","","","Validate Council Output [TestValleyBoroughCouncil]",""
"failed","Tue Oct 29 06:09:47 GMT 2024","Tue Oct 29 06:11:27 GMT 2024","100009","","","","","","Validate Council Output [WestOxfordshireDistrictCouncil]",""
"passed","Tue Oct 29 05:53:52 GMT 2024","Tue Oct 29 05:54:16 GMT 2024","23064","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"passed","Tue Oct 29 06:11:44 GMT 2024","Tue Oct 29 06:11:47 GMT 2024","2959","","","","","","Validate Council Output [WyreCouncil]",""
"passed","Tue Oct 29 05:40:29 GMT 2024","Tue Oct 29 05:41:49 GMT 2024","79650","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil]",""
"passed","Tue Oct 29 06:09:09 GMT 2024","Tue Oct 29 06:09:11 GMT 2024","1404","","","","","","Validate Council Output [WarwickDistrictCouncil]",""
"failed","Tue Oct 29 06:10:28 GMT 2024","Tue Oct 29 06:10:29 GMT 2024","1101","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"passed","Tue Oct 29 06:10:33 GMT 2024","Tue Oct 29 06:11:50 GMT 2024","77853","","","","","","Validate Council Output [WychavonDistrictCouncil]",""
"passed","Tue Oct 29 05:35:14 GMT 2024","Tue Oct 29 05:35:20 GMT 2024","5600","","","","","","Validate Council Output [CanterburyCityCouncil]",""
"failed","Tue Oct 29 05:58:04 GMT 2024","Tue Oct 29 06:00:19 GMT 2024","135470","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Tue Oct 29 05:54:12 GMT 2024","Tue Oct 29 05:54:14 GMT 2024","1922","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Tue Oct 29 05:54:19 GMT 2024","Tue Oct 29 05:54:31 GMT 2024","11650","","","","","","Validate Council Output [FlintshireCountyCouncil]",""
"passed","Tue Oct 29 06:10:29 GMT 2024","Tue Oct 29 06:10:33 GMT 2024","3809","","","","","","Validate Council Output [ValeofWhiteHorseCouncil]",""
"passed","Tue Oct 29 05:52:14 GMT 2024","Tue Oct 29 05:52:16 GMT 2024","2168","","","","","","Validate Council Output [HarboroughDistrictCouncil]",""
"passed","Tue Oct 29 06:03:37 GMT 2024","Tue Oct 29 06:03:39 GMT 2024","1389","","","","","","Validate Council Output [StockportBoroughCouncil]",""
"failed","Tue Oct 29 05:44:11 GMT 2024","Tue Oct 29 05:49:11 GMT 2024","300009","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Tue Oct 29 05:54:15 GMT 2024","Tue Oct 29 05:54:19 GMT 2024","4591","","","","","","Validate Council Output [FifeCouncil]",""
"passed","Tue Oct 29 05:57:59 GMT 2024","Tue Oct 29 05:58:02 GMT 2024","3179","","","","","","Validate Council Output [SouthwarkCouncil]",""
"passed","Tue Oct 29 05:57:15 GMT 2024","Tue Oct 29 05:57:44 GMT 2024","28970","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"passed","Tue Oct 29 05:41:45 GMT 2024","Tue Oct 29 05:42:33 GMT 2024","48199","","","","","","Validate Council Output [ChichesterDistrictCouncil]",""
"passed","Tue Oct 29 05:40:18 GMT 2024","Tue Oct 29 05:41:27 GMT 2024","69529","","","","","","Validate Council Output [BarnetCouncil]",""
"passed","Tue Oct 29 06:09:18 GMT 2024","Tue Oct 29 06:09:49 GMT 2024","31242","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"passed","Tue Oct 29 05:41:43 GMT 2024","Tue Oct 29 05:41:44 GMT 2024","967","","","","","","Validate Council Output [EastDevonDC]",""
"passed","Tue Oct 29 05:56:06 GMT 2024","Tue Oct 29 05:56:17 GMT 2024","11061","","","","","","Validate Council Output [LondonBoroughHarrow]",""
"failed","Tue Oct 29 05:57:15 GMT 2024","Tue Oct 29 05:57:15 GMT 2024","34","","","","","","Validate Council Output [NorthKestevenDistrictCouncil]",""
"passed","Tue Oct 29 05:57:42 GMT 2024","Tue Oct 29 05:57:43 GMT 2024","1255","","","","","","Validate Council Output [RochfordCouncil]",""
"passed","Tue Oct 29 05:52:33 GMT 2024","Tue Oct 29 05:52:37 GMT 2024","4404","","","","","","Validate Council Output [ElmbridgeBoroughCouncil]",""
"passed","Tue Oct 29 06:08:45 GMT 2024","Tue Oct 29 06:09:09 GMT 2024","23795","","","","","","Validate Council Output [WalthamForest]",""
"passed","Tue Oct 29 05:57:43 GMT 2024","Tue Oct 29 05:57:45 GMT 2024","2121","","","","","","Validate Council Output [RotherhamCouncil]",""
"passed","Tue Oct 29 05:58:03 GMT 2024","Tue Oct 29 05:58:04 GMT 2024","1194","","","","","","Validate Council Output [StokeOnTrentCityCouncil]",""
"passed","Tue Oct 29 05:49:13 GMT 2024","Tue Oct 29 05:52:41 GMT 2024","207538","","","","","","Validate Council Output [BromleyBoroughCouncil]",""
"passed","Tue Oct 29 05:35:05 GMT 2024","Tue Oct 29 05:35:06 GMT 2024","1315","","","","","","Validate Council Output [CornwallCouncil]",""
"passed","Tue Oct 29 05:52:19 GMT 2024","Tue Oct 29 05:52:22 GMT 2024","2636","","","","","","Validate Council Output [HarrogateBoroughCouncil]",""
"passed","Tue Oct 29 05:52:46 GMT 2024","Tue Oct 29 05:52:47 GMT 2024","1056","","","","","","Validate Council Output [ConwyCountyBorough]",""
"passed","Tue Oct 29 06:11:36 GMT 2024","Tue Oct 29 06:11:53 GMT 2024","16480","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil]",""
"passed","Tue Oct 29 05:35:05 GMT 2024","Tue Oct 29 05:35:13 GMT 2024","8644","","","","","","Validate Council Output [CalderdaleCouncil]",""
"passed","Tue Oct 29 06:09:49 GMT 2024","Tue Oct 29 06:09:51 GMT 2024","1441","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Tue Oct 29 05:56:55 GMT 2024","Tue Oct 29 05:56:55 GMT 2024","691","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"passed","Tue Oct 29 05:53:47 GMT 2024","Tue Oct 29 05:53:49 GMT 2024","1567","","","","","","Validate Council Output [HuntingdonDistrictCouncil]",""
"passed","Tue Oct 29 05:35:05 GMT 2024","Tue Oct 29 05:35:09 GMT 2024","3839","","","","","","Validate Council Output [BelfastCityCouncil]",""
"passed","Tue Oct 29 05:54:11 GMT 2024","Tue Oct 29 05:54:15 GMT 2024","3307","","","","","","Validate Council Output [FenlandDistrictCouncil]",""
"passed","Tue Oct 29 05:40:27 GMT 2024","Tue Oct 29 05:40:29 GMT 2024","1811","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Tue Oct 29 05:55:54 GMT 2024","Tue Oct 29 05:55:55 GMT 2024","1154","","","","","","Validate Council Output [MoleValleyDistrictCouncil]",""
"failed","Tue Oct 29 05:41:44 GMT 2024","Tue Oct 29 05:42:26 GMT 2024","42416","","","","","","Validate Council Output [EastLindseyDistrictCouncil]",""
"failed","Tue Oct 29 06:03:10 GMT 2024","Tue Oct 29 06:08:10 GMT 2024","300031","","","","","","Validate Council Output [SwaleBoroughCouncil]",""
"passed","Tue Oct 29 05:35:09 GMT 2024","Tue Oct 29 05:35:27 GMT 2024","18456","","","","","","Validate Council Output [BexleyCouncil]",""
"passed","Tue Oct 29 05:35:07 GMT 2024","Tue Oct 29 05:35:08 GMT 2024","771","","","","","","Validate Council Output [AdurAndWorthingCouncils]",""
"passed","Tue Oct 29 05:57:49 GMT 2024","Tue Oct 29 05:57:53 GMT 2024","3727","","","","","","Validate Council Output [SouthOxfordshireCouncil]",""
"passed","Tue Oct 29 05:57:48 GMT 2024","Tue Oct 29 05:57:49 GMT 2024","1641","","","","","","Validate Council Output [SouthNorfolkCouncil]",""
"failed","Tue Oct 29 05:54:16 GMT 2024","Tue Oct 29 05:54:41 GMT 2024","25073","","","","","","Validate Council Output [KirkleesCouncil]",""
"passed","Tue Oct 29 05:52:37 GMT 2024","Tue Oct 29 05:53:33 GMT 2024","56015","","","","","","Validate Council Output [EnfieldCouncil]",""
"passed","Tue Oct 29 06:09:46 GMT 2024","Tue Oct 29 06:09:47 GMT 2024","1083","","","","","","Validate Council Output [WestNorthamptonshireCouncil]",""
"passed","Tue Oct 29 05:53:33 GMT 2024","Tue Oct 29 05:53:35 GMT 2024","1551","","","","","","Validate Council Output [EnvironmentFirst]",""
"passed","Tue Oct 29 05:47:50 GMT 2024","Tue Oct 29 05:52:31 GMT 2024","280728","","","","","","Validate Council Output [EastSuffolkCouncil]",""
"passed","Tue Oct 29 06:08:39 GMT 2024","Tue Oct 29 06:08:41 GMT 2024","1886","","","","","","Validate Council Output [TonbridgeAndMallingBC]",""
"failed","Tue Oct 29 05:35:14 GMT 2024","Tue Oct 29 05:40:27 GMT 2024","312940","","","","","","Validate Council Output [DacorumBoroughCouncil]",""
"passed","Tue Oct 29 05:58:06 GMT 2024","Tue Oct 29 05:58:10 GMT 2024","3836","","","","","","Validate Council Output [StroudDistrictCouncil]",""
"passed","Tue Oct 29 05:54:35 GMT 2024","Tue Oct 29 05:55:54 GMT 2024","78204","","","","","","Validate Council Output [MidSussexDistrictCouncil]",""
"passed","Tue Oct 29 05:35:08 GMT 2024","Tue Oct 29 05:35:16 GMT 2024","7835","","","","","","Validate Council Output [ArmaghBanbridgeCraigavonCouncil]",""
"failed","Tue Oct 29 05:42:50 GMT 2024","Tue Oct 29 05:47:50 GMT 2024","300011","","","","","","Validate Council Output [EastRidingCouncil]",""
"passed","Tue Oct 29 05:42:26 GMT 2024","Tue Oct 29 05:42:50 GMT 2024","23741","","","","","","Validate Council Output [EastRenfrewshireCouncil]",""
"failed","Tue Oct 29 06:11:27 GMT 2024","Tue Oct 29 06:11:39 GMT 2024","11177","","","","","","Validate Council Output [WestSuffolkCouncil]",""
"passed","Tue Oct 29 06:09:11 GMT 2024","Tue Oct 29 06:09:14 GMT 2024","3344","","","","","","Validate Council Output [WaverleyBoroughCouncil]",""
"passed","Tue Oct 29 05:41:27 GMT 2024","Tue Oct 29 05:41:29 GMT 2024","1221","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"passed","Tue Oct 29 05:57:36 GMT 2024","Tue Oct 29 05:57:38 GMT 2024","1854","","","","","","Validate Council Output [PerthAndKinrossCouncil]",""
"passed","Tue Oct 29 05:42:09 GMT 2024","Tue Oct 29 05:42:10 GMT 2024","982","","","","","","Validate Council Output [EalingCouncil]",""
"passed","Tue Oct 29 05:54:03 GMT 2024","Tue Oct 29 05:54:04 GMT 2024","1399","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil]",""
"failed","Tue Oct 29 05:54:04 GMT 2024","Tue Oct 29 05:56:05 GMT 2024","120198","","","","","","Validate Council Output [LiverpoolCityCouncil]",""
"passed","Tue Oct 29 05:57:15 GMT 2024","Tue Oct 29 05:57:16 GMT 2024","907","","","","","","Validate Council Output [NorthLanarkshireCouncil]",""
"failed","Tue Oct 29 06:03:07 GMT 2024","Tue Oct 29 06:03:37 GMT 2024","30399","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]",""
"passed","Tue Oct 29 05:35:27 GMT 2024","Tue Oct 29 05:35:30 GMT 2024","2881","","","","","","Validate Council Output [BirminghamCityCouncil]",""
"passed","Tue Oct 29 05:57:45 GMT 2024","Tue Oct 29 05:57:48 GMT 2024","3263","","","","","","Validate Council Output [RugbyBoroughCouncil]",""
"passed","Tue Oct 29 05:41:57 GMT 2024","Tue Oct 29 05:41:59 GMT 2024","2333","","","","","","Validate Council Output [DoverDistrictCouncil]",""
"passed","Tue Oct 29 05:41:29 GMT 2024","Tue Oct 29 05:41:30 GMT 2024","966","","","","","","Validate Council Output [BasildonCouncil]",""
"passed","Tue Oct 29 05:40:17 GMT 2024","Tue Oct 29 05:40:18 GMT 2024","915","","","","","","Validate Council Output [BCPCouncil]",""
