"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 00:34:17 GMT 2024","Sun Oct 27 00:34:22 GMT 2024","4514","","","","","","Validate Council Output [WalsallCouncil]",""
"passed","Sun Oct 27 00:22:53 GMT 2024","Sun Oct 27 00:22:54 GMT 2024","884","","","","","","Validate Council Output [RushmoorCouncil]",""
"failed","Sun Oct 27 00:19:10 GMT 2024","Sun Oct 27 00:19:47 GMT 2024","36824","","","","","","Validate Council Output [KirkleesCouncil]",""
"passed","Sun Oct 27 00:20:59 GMT 2024","Sun Oct 27 00:21:00 GMT 2024","1069","","","","","","Validate Council Output [MoleValleyDistrictCouncil]",""
"passed","Sun Oct 27 00:21:31 GMT 2024","Sun Oct 27 00:21:37 GMT 2024","5549","","","","","","Validate Council Output [LancasterCityCouncil]",""
"failed","Sun Oct 27 00:34:04 GMT 2024","Sun Oct 27 00:34:05 GMT 2024","1507","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"failed","Sun Oct 27 00:23:54 GMT 2024","Sun Oct 27 00:24:30 GMT 2024","35732","","","","","","Validate Council Output [SolihullCouncil]",""
"passed","Sun Oct 27 00:34:49 GMT 2024","Sun Oct 27 00:35:00 GMT 2024","10918","","","","","","Validate Council Output [TestValleyBoroughCouncil]",""
"passed","Sun Oct 27 00:21:47 GMT 2024","Sun Oct 27 00:21:47 GMT 2024","352","","","","","","Validate Council Output [GedlingBoroughCouncil]",""
"passed","Sun Oct 27 00:01:58 GMT 2024","Sun Oct 27 00:01:59 GMT 2024","1152","","","","","","Validate Council Output [BCPCouncil]",""
"passed","Sun Oct 27 00:22:05 GMT 2024","Sun Oct 27 00:22:08 GMT 2024","2526","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"passed","Sun Oct 27 00:01:30 GMT 2024","Sun Oct 27 00:01:51 GMT 2024","21315","","","","","","Validate Council Output [DacorumBoroughCouncil]",""
"passed","Sun Oct 27 00:29:47 GMT 2024","Sun Oct 27 00:29:50 GMT 2024","2876","","","","","","Validate Council Output [TunbridgeWellsCouncil]",""
"passed","Sun Oct 27 00:05:09 GMT 2024","Sun Oct 27 00:05:12 GMT 2024","2522","","","","","","Validate Council Output [BristolCityCouncil]",""
"passed","Sun Oct 27 00:23:13 GMT 2024","Sun Oct 27 00:23:15 GMT 2024","1672","","","","","","Validate Council Output [NewhamCouncil]",""
