"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 00:23:02 GMT 2024","Sat Oct 26 00:23:04 GMT 2024","1612","","","","","","Validate Council Output [SouthNorfolkCouncil]",""
"passed","Sat Oct 26 00:22:35 GMT 2024","Sat Oct 26 00:22:52 GMT 2024","17237","","","","","","Validate Council Output [PortsmouthCityCouncil]",""
"passed","Sat Oct 26 00:22:41 GMT 2024","Sat Oct 26 00:22:45 GMT 2024","4366","","","","","","Validate Council Output [ShropshireCouncil]",""
"passed","Sat Oct 26 00:21:12 GMT 2024","Sat Oct 26 00:21:13 GMT 2024","782","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"passed","Sat Oct 26 00:22:00 GMT 2024","Sat Oct 26 00:22:00 GMT 2024","538","","","","","","Validate Council Output [RushmoorCouncil]",""
"failed","Sat Oct 26 00:19:05 GMT 2024","Sat Oct 26 00:21:03 GMT 2024","117758","","","","","","Validate Council Output [KnowsleyMBCouncil]",""
"passed","Sat Oct 26 00:18:41 GMT 2024","Sat Oct 26 00:19:20 GMT 2024","39328","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil]",""
"passed","Sat Oct 26 00:01:53 GMT 2024","Sat Oct 26 00:01:54 GMT 2024","555","","","","","","Validate Council Output [BCPCouncil]",""
"passed","Sat Oct 26 00:33:51 GMT 2024","Sat Oct 26 00:34:32 GMT 2024","41045","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"passed","Sat Oct 26 00:21:10 GMT 2024","Sat Oct 26 00:21:12 GMT 2024","1896","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"passed","Sat Oct 26 00:02:45 GMT 2024","Sat Oct 26 00:02:46 GMT 2024","970","","","","","","Validate Council Output [BasildonCouncil]",""
"passed","Sat Oct 26 00:18:45 GMT 2024","Sat Oct 26 00:18:46 GMT 2024","845","","","","","","Validate Council Output [FarehamBoroughCouncil]",""
"failed","Sat Oct 26 00:18:49 GMT 2024","Sat Oct 26 00:20:25 GMT 2024","96332","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil]",""
"passed","Sat Oct 26 00:18:58 GMT 2024","Sat Oct 26 00:19:00 GMT 2024","1660","","","","","","Validate Council Output [MidlothianCouncil]",""
"passed","Sat Oct 26 00:28:39 GMT 2024","Sat Oct 26 00:28:41 GMT 2024","1556","","","","","","Validate Council Output [TunbridgeWellsCouncil]",""
"passed","Sat Oct 26 00:17:38 GMT 2024","Sat Oct 26 00:18:30 GMT 2024","51525","","","","","","Validate Council Output [ColchesterCityCouncil]",""
"passed","Sat Oct 26 00:34:41 GMT 2024","Sat Oct 26 00:34:43 GMT 2024","1939","","","","","","Validate Council Output [WestMorlandAndFurness]",""
"passed","Sat Oct 26 00:34:43 GMT 2024","Sat Oct 26 00:34:46 GMT 2024","3092","","","","","","Validate Council Output [WiganBoroughCouncil]",""
"passed","Sat Oct 26 00:01:28 GMT 2024","Sat Oct 26 00:01:29 GMT 2024","847","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"failed","Sat Oct 26 00:33:04 GMT 2024","Sat Oct 26 00:35:19 GMT 2024","134717","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Sat Oct 26 00:06:48 GMT 2024","Sat Oct 26 00:07:29 GMT 2024","41364","","","","","","Validate Council Output [ChichesterDistrictCouncil]",""
"failed","Sat Oct 26 00:28:18 GMT 2024","Sat Oct 26 00:33:18 GMT 2024","300196","","","","","","Validate Council Output [TeignbridgeCouncil]",""
"passed","Sat Oct 26 00:18:46 GMT 2024","Sat Oct 26 00:18:49 GMT 2024","2812","","","","","","Validate Council Output [FenlandDistrictCouncil]",""
"passed","Sat Oct 26 00:28:38 GMT 2024","Sat Oct 26 00:28:39 GMT 2024","1359","","","","","","Validate Council Output [StockportBoroughCouncil]",""
"failed","Sat Oct 26 00:07:53 GMT 2024","Sat Oct 26 00:08:03 GMT 2024","10556","","","","","","Validate Council Output [HaringeyCouncil]",""
"passed","Sat Oct 26 00:02:22 GMT 2024","Sat Oct 26 00:02:28 GMT 2024","6099","","","","","","Validate Council Output [DudleyCouncil]",""
"passed","Sat Oct 26 00:35:19 GMT 2024","Sat Oct 26 00:36:04 GMT 2024","44644","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"passed","Sat Oct 26 00:18:34 GMT 2024","Sat Oct 26 00:18:35 GMT 2024","1022","","","","","","Validate Council Output [MalvernHillsDC]",""
"passed","Sat Oct 26 00:07:14 GMT 2024","Sat Oct 26 00:07:41 GMT 2024","27189","","","","","","Validate Council Output [BuckinghamshireCouncil]",""
"passed","Sat Oct 26 00:01:22 GMT 2024","Sat Oct 26 00:01:24 GMT 2024","1034","","","","","","Validate Council Output [CoventryCityCouncil]",""
"failed","Sat Oct 26 00:01:42 GMT 2024","Sat Oct 26 00:02:17 GMT 2024","35422","","","","","","Validate Council Output [CardiffCouncil]",""
"failed","Sat Oct 26 00:07:43 GMT 2024","Sat Oct 26 00:12:43 GMT 2024","300042","","","","","","Validate Council Output [LeedsCityCouncil]",""
"failed","Sat Oct 26 00:02:17 GMT 2024","Sat Oct 26 00:02:18 GMT 2024","676","","","","","","Validate Council Output [CastlepointDistrictCouncil]",""
"passed","Sat Oct 26 00:02:09 GMT 2024","Sat Oct 26 00:02:51 GMT 2024","42346","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Sat Oct 26 00:21:33 GMT 2024","Sat Oct 26 00:22:00 GMT 2024","26571","","","","","","Validate Council Output [RushcliffeBoroughCouncil]",""
"passed","Sat Oct 26 00:22:44 GMT 2024","Sat Oct 26 00:22:47 GMT 2024","2739","","","","","","Validate Council Output [RugbyBoroughCouncil]",""
"passed","Sat Oct 26 00:21:13 GMT 2024","Sat Oct 26 00:21:56 GMT 2024","42969","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil]",""
"passed","Sat Oct 26 00:23:58 GMT 2024","Sat Oct 26 00:24:00 GMT 2024","1828","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"passed","Sat Oct 26 00:12:38 GMT 2024","Sat Oct 26 00:12:39 GMT 2024","1322","","","","","","Validate Council Output [EastleighBoroughCouncil]",""
"passed","Sat Oct 26 00:01:40 GMT 2024","Sat Oct 26 00:01:44 GMT 2024","3779","","","","","","Validate Council Output [BirminghamCityCouncil]",""
"passed","Sat Oct 26 00:33:19 GMT 2024","Sat Oct 26 00:34:25 GMT 2024","65478","","","","","","Validate Council Output [WalthamForest]",""
"passed","Sat Oct 26 00:18:18 GMT 2024","Sat Oct 26 00:18:42 GMT 2024","23566","","","","","","Validate Council Output [EppingForestDistrictCouncil]",""
"passed","Sat Oct 26 00:07:41 GMT 2024","Sat Oct 26 00:07:43 GMT 2024","1893","","","","","","Validate Council Output [BuryCouncil]",""
"failed","Sat Oct 26 00:01:29 GMT 2024","Sat Oct 26 00:01:42 GMT 2024","13158","","","","","","Validate Council Output [CanterburyCityCouncil]",""
"failed","Sat Oct 26 00:04:39 GMT 2024","Sat Oct 26 00:04:39 GMT 2024","292","","","","","","Validate Council Output [CheshireEastCouncil]",""
"passed","Sat Oct 26 00:02:44 GMT 2024","Sat Oct 26 00:02:45 GMT 2024","895","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"passed","Sat Oct 26 00:33:42 GMT 2024","Sat Oct 26 00:33:44 GMT 2024","1715","","","","","","Validate Council Output [WatfordBoroughCouncil]",""
"passed","Sat Oct 26 00:21:09 GMT 2024","Sat Oct 26 00:21:10 GMT 2024","1405","","","","","","Validate Council Output [NorthSomersetCouncil]",""
"failed","Sat Oct 26 00:20:25 GMT 2024","Sat Oct 26 00:21:31 GMT 2024","65283","","","","","","Validate Council Output [GatesheadCouncil]",""
"passed","Sat Oct 26 00:07:23 GMT 2024","Sat Oct 26 00:07:51 GMT 2024","28200","","","","","","Validate Council Output [HaltonBoroughCouncil]",""
"passed","Sat Oct 26 00:34:26 GMT 2024","Sat Oct 26 00:34:41 GMT 2024","15157","","","","","","Validate Council Output [WestLothianCouncil]",""
"passed","Sat Oct 26 00:19:00 GMT 2024","Sat Oct 26 00:20:31 GMT 2024","90944","","","","","","Validate Council Output [MidSussexDistrictCouncil]",""
"failed","Sat Oct 26 00:35:47 GMT 2024","Sat Oct 26 00:35:57 GMT 2024","9280","","","","","","Validate Council Output [WestSuffolkCouncil]",""
"passed","Sat Oct 26 00:33:03 GMT 2024","Sat Oct 26 00:33:04 GMT 2024","1390","","","","","","Validate Council Output [SwindonBoroughCouncil]",""
"passed","Sat Oct 26 00:22:26 GMT 2024","Sat Oct 26 00:22:30 GMT 2024","4221","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"passed","Sat Oct 26 00:02:03 GMT 2024","Sat Oct 26 00:02:06 GMT 2024","2836","","","","","","Validate Council Output [DorsetCouncil]",""
"passed","Sat Oct 26 00:02:06 GMT 2024","Sat Oct 26 00:02:22 GMT 2024","15956","","","","","","Validate Council Output [DoverDistrictCouncil]",""
"passed","Sat Oct 26 00:13:03 GMT 2024","Sat Oct 26 00:13:18 GMT 2024","14284","","","","","","Validate Council Output [LondonBoroughHounslow]",""
"passed","Sat Oct 26 00:22:32 GMT 2024","Sat Oct 26 00:22:35 GMT 2024","2364","","","","","","Validate Council Output [RhonddaCynonTaffCouncil]",""
"failed","Sat Oct 26 00:28:41 GMT 2024","Sat Oct 26 00:33:41 GMT 2024","300047","","","","","","Validate Council Output [UttlesfordDistrictCouncil]",""
"passed","Sat Oct 26 00:05:11 GMT 2024","Sat Oct 26 00:06:59 GMT 2024","108155","","","","","","Validate Council Output [EastRenfrewshireCouncil]",""
"passed","Sat Oct 26 00:12:49 GMT 2024","Sat Oct 26 00:12:50 GMT 2024","692","","","","","","Validate Council Output [LondonBoroughEaling]",""
"passed","Sat Oct 26 00:12:43 GMT 2024","Sat Oct 26 00:12:45 GMT 2024","1392","","","","","","Validate Council Output [LichfieldDistrictCouncil]",""
"passed","Sat Oct 26 00:06:59 GMT 2024","Sat Oct 26 00:07:37 GMT 2024","38176","","","","","","Validate Council Output [EastRidingCouncil]",""
