"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 00:01:15 GMT 2024","Sun Oct 20 00:01:30 GMT 2024","15807","","","","","","Validate Council Output [ArunCouncil]",""
"passed","Sun Oct 20 00:05:09 GMT 2024","Sun Oct 20 00:05:12 GMT 2024","2381","","","","","","Validate Council Output [BristolCityCouncil]",""
"passed","Sun Oct 20 00:04:09 GMT 2024","Sun Oct 20 00:05:09 GMT 2024","60535","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"failed","Sun Oct 20 00:19:23 GMT 2024","Sun Oct 20 00:20:54 GMT 2024","91543","","","","","","Validate Council Output [KirkleesCouncil]",""
"passed","Sun Oct 20 00:38:20 GMT 2024","Sun Oct 20 00:39:26 GMT 2024","66345","","","","","","Validate Council Output [SwaleBoroughCouncil]",""
"passed","Sun Oct 20 00:44:23 GMT 2024","Sun Oct 20 00:44:35 GMT 2024","12072","","","","","","Validate Council Output [WestSuffolkCouncil]",""
"passed","Sun Oct 20 00:44:54 GMT 2024","Sun Oct 20 00:44:56 GMT 2024","1226","","","","","","Validate Council Output [WestMorlandAndFurness]",""
"passed","Sun Oct 20 00:33:59 GMT 2024","Sun Oct 20 00:34:01 GMT 2024","1527","","","","","","Validate Council Output [RochdaleCouncil]",""
"passed","Sun Oct 20 00:17:34 GMT 2024","Sun Oct 20 00:17:37 GMT 2024","3204","","","","","","Validate Council Output [LichfieldDistrictCouncil]",""
"passed","Sun Oct 20 00:01:35 GMT 2024","Sun Oct 20 00:03:27 GMT 2024","111680","","","","","","Validate Council Output [ChelmsfordCityCouncil]",""
"passed","Sun Oct 20 00:19:19 GMT 2024","Sun Oct 20 00:20:47 GMT 2024","88668","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil]",""
"passed","Sun Oct 20 00:04:08 GMT 2024","Sun Oct 20 00:04:09 GMT 2024","946","","","","","","Validate Council Output [BradfordMDC]",""
"passed","Sun Oct 20 00:17:09 GMT 2024","Sun Oct 20 00:18:12 GMT 2024","63165","","","","","","Validate Council Output [EnfieldCouncil]",""
"passed","Sun Oct 20 00:23:12 GMT 2024","Sun Oct 20 00:23:13 GMT 2024","1215","","","","","","Validate Council Output [NewhamCouncil]",""
"passed","Sun Oct 20 00:01:09 GMT 2024","Sun Oct 20 00:01:10 GMT 2024","1511","","","","","","Validate Council Output [CornwallCouncil]",""
"failed","Sun Oct 20 00:44:34 GMT 2024","Sun Oct 20 00:44:50 GMT 2024","16222","","","","","","Validate Council Output [WokingBoroughCouncil]",""
"passed","Sun Oct 20 00:04:03 GMT 2024","Sun Oct 20 00:04:04 GMT 2024","843","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"passed","Sun Oct 20 00:01:09 GMT 2024","Sun Oct 20 00:01:15 GMT 2024","5959","","","","","","Validate Council Output [ArmaghBanbridgeCraigavonCouncil]",""
"passed","Sun Oct 20 00:35:21 GMT 2024","Sun Oct 20 00:35:23 GMT 2024","2602","","","","","","Validate Council Output [SouthRibbleCouncil]",""
"passed","Sun Oct 20 00:17:43 GMT 2024","Sun Oct 20 00:17:53 GMT 2024","10022","","","","","","Validate Council Output [LondonBoroughHarrow]",""
"failed","Sun Oct 20 00:34:13 GMT 2024","Sun Oct 20 00:39:13 GMT 2024","300028","","","","","","Validate Council Output [TendringDistrictCouncil]",""
"passed","Sun Oct 20 00:35:26 GMT 2024","Sun Oct 20 00:35:26 GMT 2024","972","","","","","","Validate Council Output [TorbayCouncil]",""
"passed","Sun Oct 20 00:44:21 GMT 2024","Sun Oct 20 00:44:22 GMT 2024","1070","","","","","","Validate Council Output [WarwickDistrictCouncil]",""
"failed","Sun Oct 20 00:33:13 GMT 2024","Sun Oct 20 00:33:16 GMT 2024","2050","","","","","","Validate Council Output [StHelensBC]",""
"passed","Sun Oct 20 00:18:40 GMT 2024","Sun Oct 20 00:18:43 GMT 2024","2709","","","","","","Validate Council Output [IslingtonCouncil]",""
"passed","Sun Oct 20 00:28:08 GMT 2024","Sun Oct 20 00:28:09 GMT 2024","1266","","","","","","Validate Council Output [PlymouthCouncil]",""
"passed","Sun Oct 20 00:22:48 GMT 2024","Sun Oct 20 00:22:48 GMT 2024","649","","","","","","Validate Council Output [NewarkAndSherwoodDC]",""
"passed","Sun Oct 20 00:17:37 GMT 2024","Sun Oct 20 00:17:40 GMT 2024","3092","","","","","","Validate Council Output [LincolnCouncil]",""
"passed","Sun Oct 20 00:34:01 GMT 2024","Sun Oct 20 00:34:01 GMT 2024","557","","","","","","Validate Council Output [RochfordCouncil]",""
"passed","Sun Oct 20 00:28:01 GMT 2024","Sun Oct 20 00:28:03 GMT 2024","1824","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Sun Oct 20 00:19:29 GMT 2024","Sun Oct 20 00:19:30 GMT 2024","925","","","","","","Validate Council Output [MoleValleyDistrictCouncil]",""
"failed","Sun Oct 20 00:39:20 GMT 2024","Sun Oct 20 00:39:21 GMT 2024","922","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"passed","Sun Oct 20 00:22:53 GMT 2024","Sun Oct 20 00:22:54 GMT 2024","1337","","","","","","Validate Council Output [NorthSomersetCouncil]",""
"passed","Sun Oct 20 00:27:56 GMT 2024","Sun Oct 20 00:27:56 GMT 2024","460","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"passed","Sun Oct 20 00:44:29 GMT 2024","Sun Oct 20 00:45:01 GMT 2024","31931","","","","","","Validate Council Output [WinchesterCityCouncil]",""
"passed","Sun Oct 20 00:05:45 GMT 2024","Sun Oct 20 00:07:34 GMT 2024","108807","","","","","","Validate Council Output [EastRenfrewshireCouncil]",""
"passed","Sun Oct 20 00:01:40 GMT 2024","Sun Oct 20 00:04:13 GMT 2024","153742","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil]",""
"passed","Sun Oct 20 00:01:26 GMT 2024","Sun Oct 20 00:01:39 GMT 2024","13011","","","","","","Validate Council Output [BlackburnCouncil]",""
"passed","Sun Oct 20 00:44:26 GMT 2024","Sun Oct 20 00:44:29 GMT 2024","2869","","","","","","Validate Council Output [WiganBoroughCouncil]",""
"passed","Sun Oct 20 00:04:19 GMT 2024","Sun Oct 20 00:04:19 GMT 2024","644","","","","","","Validate Council Output [EastDevonDC]",""
"failed","Sun Oct 20 00:19:28 GMT 2024","Sun Oct 20 00:19:29 GMT 2024","449","","","","","","Validate Council Output [MiltonKeynesCityCouncil]",""
"passed","Sun Oct 20 00:22:55 GMT 2024","Sun Oct 20 00:22:57 GMT 2024","1362","","","","","","Validate Council Output [NorthYorkshire]",""
"passed","Sun Oct 20 00:16:46 GMT 2024","Sun Oct 20 00:16:52 GMT 2024","5669","","","","","","Validate Council Output [LancasterCityCouncil]",""
"passed","Sun Oct 20 00:18:54 GMT 2024","Sun Oct 20 00:19:28 GMT 2024","34317","","","","","","Validate Council Output [MidSussexDistrictCouncil]",""
"passed","Sun Oct 20 00:04:27 GMT 2024","Sun Oct 20 00:04:29 GMT 2024","1639","","","","","","Validate Council Output [GlasgowCityCouncil]",""
"passed","Sun Oct 20 00:44:37 GMT 2024","Sun Oct 20 00:45:06 GMT 2024","28674","","","","","","Validate Council Output [WychavonDistrictCouncil]",""
"passed","Sun Oct 20 00:39:29 GMT 2024","Sun Oct 20 00:39:30 GMT 2024","1613","","","","","","Validate Council Output [WelhatCouncil]",""
"passed","Sun Oct 20 00:01:08 GMT 2024","Sun Oct 20 00:01:09 GMT 2024","1677","","","","","","Validate Council Output [BelfastCityCouncil]",""
"passed","Sun Oct 20 00:04:11 GMT 2024","Sun Oct 20 00:04:12 GMT 2024","782","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"passed","Sun Oct 20 00:33:56 GMT 2024","Sun Oct 20 00:33:59 GMT 2024","2724","","","","","","Validate Council Output [RhonddaCynonTaffCouncil]",""
"passed","Sun Oct 20 00:33:03 GMT 2024","Sun Oct 20 00:33:05 GMT 2024","2290","","","","","","Validate Council Output [SheffieldCityCouncil]",""
"passed","Sun Oct 20 00:19:04 GMT 2024","Sun Oct 20 00:19:08 GMT 2024","3417","","","","","","Validate Council Output [ErewashBoroughCouncil]",""
"passed","Sun Oct 20 00:17:24 GMT 2024","Sun Oct 20 00:17:26 GMT 2024","1865","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Sun Oct 20 00:16:52 GMT 2024","Sun Oct 20 00:17:34 GMT 2024","42062","","","","","","Validate Council Output [LeedsCityCouncil]",""
"passed","Sun Oct 20 00:01:21 GMT 2024","Sun Oct 20 00:01:26 GMT 2024","4153","","","","","","Validate Council Output [BirminghamCityCouncil]",""
"passed","Sun Oct 20 00:33:13 GMT 2024","Sun Oct 20 00:33:13 GMT 2024","591","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil]",""
"failed","Sun Oct 20 00:39:21 GMT 2024","Sun Oct 20 00:44:21 GMT 2024","300009","","","","","","Validate Council Output [WalthamForest]",""
"passed","Sun Oct 20 00:12:28 GMT 2024","Sun Oct 20 00:16:46 GMT 2024","258336","","","","","","Validate Council Output [BuckinghamshireCouncil]",""
"passed","Sun Oct 20 00:34:11 GMT 2024","Sun Oct 20 00:34:13 GMT 2024","1898","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"failed","Sun Oct 20 00:34:04 GMT 2024","Sun Oct 20 00:36:18 GMT 2024","134039","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Sun Oct 20 00:20:34 GMT 2024","Sun Oct 20 00:21:08 GMT 2024","33218","","","","","","Validate Council Output [GatesheadCouncil]",""
"failed","Sun Oct 20 00:20:52 GMT 2024","Sun Oct 20 00:20:52 GMT 2024","50","","","","","","Validate Council Output [NorthKestevenDistrictCouncil]",""
"passed","Sun Oct 20 00:32:56 GMT 2024","Sun Oct 20 00:33:56 GMT 2024","60079","","","","","","Validate Council Output [RenfrewshireCouncil]",""
"passed","Sun Oct 20 00:22:48 GMT 2024","Sun Oct 20 00:23:12 GMT 2024","23426","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"failed","Sun Oct 20 00:23:00 GMT 2024","Sun Oct 20 00:28:00 GMT 2024","300036","","","","","","Validate Council Output [RushcliffeBoroughCouncil]",""
"passed","Sun Oct 20 00:17:26 GMT 2024","Sun Oct 20 00:18:54 GMT 2024","87996","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil]",""
"passed","Sun Oct 20 00:01:37 GMT 2024","Sun Oct 20 00:04:03 GMT 2024","146443","","","","","","Validate Council Output [BarnetCouncil]",""
"passed","Sun Oct 20 00:01:10 GMT 2024","Sun Oct 20 00:01:16 GMT 2024","5480","","","","","","Validate Council Output [CrawleyBoroughCouncil]",""
"passed","Sun Oct 20 00:22:56 GMT 2024","Sun Oct 20 00:23:00 GMT 2024","3911","","","","","","Validate Council Output [RugbyBoroughCouncil]",""
"failed","Sun Oct 20 00:21:01 GMT 2024","Sun Oct 20 00:22:48 GMT 2024","106947","","","","","","Validate Council Output [NewForestCouncil]",""
"passed","Sun Oct 20 00:23:29 GMT 2024","Sun Oct 20 00:23:30 GMT 2024","1744","","","","","","Validate Council Output [SouthCambridgeshireCouncil]",""
"passed","Sun Oct 20 00:01:32 GMT 2024","Sun Oct 20 00:01:35 GMT 2024","2531","","","","","","Validate Council Output [CharnwoodBoroughCouncil]",""
"passed","Sun Oct 20 00:23:30 GMT 2024","Sun Oct 20 00:23:32 GMT 2024","1554","","","","","","Validate Council Output [SouthDerbyshireDistrictCouncil]",""
"passed","Sun Oct 20 00:04:29 GMT 2024","Sun Oct 20 00:06:06 GMT 2024","96855","","","","","","Validate Council Output [GloucesterCityCouncil]",""
"passed","Sun Oct 20 00:34:01 GMT 2024","Sun Oct 20 00:34:04 GMT 2024","2951","","","","","","Validate Council Output [RotherhamCouncil]",""
"passed","Sun Oct 20 00:01:38 GMT 2024","Sun Oct 20 00:01:40 GMT 2024","1850","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Sun Oct 20 00:03:27 GMT 2024","Sun Oct 20 00:03:30 GMT 2024","3879","","","","","","Validate Council Output [CheshireEastCouncil]",""
"passed","Sun Oct 20 00:22:57 GMT 2024","Sun Oct 20 00:22:59 GMT 2024","2094","","","","","","Validate Council Output [NorwichCityCouncil]",""
"failed","Sun Oct 20 00:33:20 GMT 2024","Sun Oct 20 00:35:21 GMT 2024","120781","","","","","","Validate Council Output [SouthOxfordshireCouncil]",""
"passed","Sun Oct 20 00:18:19 GMT 2024","Sun Oct 20 00:18:21 GMT 2024","2052","","","","","","Validate Council Output [LondonBoroughLambeth]",""
"passed","Sun Oct 20 00:33:05 GMT 2024","Sun Oct 20 00:33:09 GMT 2024","3697","","","","","","Validate Council Output [ShropshireCouncil]",""
"passed","Sun Oct 20 00:44:30 GMT 2024","Sun Oct 20 00:44:32 GMT 2024","1053","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Sun Oct 20 00:18:37 GMT 2024","Sun Oct 20 00:18:39 GMT 2024","1699","","","","","","Validate Council Output [HullCityCouncil]",""
"failed","Sun Oct 20 00:05:02 GMT 2024","Sun Oct 20 00:07:17 GMT 2024","135165","","","","","","Validate Council Output [ChichesterDistrictCouncil]",""
"passed","Sun Oct 20 00:45:11 GMT 2024","Sun Oct 20 00:45:11 GMT 2024","474","","","","","","Validate Council Output [YorkCouncil]",""
"passed","Sun Oct 20 00:17:06 GMT 2024","Sun Oct 20 00:17:09 GMT 2024","2932","","","","","","Validate Council Output [ElmbridgeBoroughCouncil]",""
"passed","Sun Oct 20 00:22:52 GMT 2024","Sun Oct 20 00:22:53 GMT 2024","884","","","","","","Validate Council Output [NorthNorthamptonshireCouncil]",""
"passed","Sun Oct 20 00:19:15 GMT 2024","Sun Oct 20 00:19:16 GMT 2024","1174","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"failed","Sun Oct 20 00:27:56 GMT 2024","Sun Oct 20 00:32:56 GMT 2024","300007","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil]",""
"passed","Sun Oct 20 00:18:21 GMT 2024","Sun Oct 20 00:19:13 GMT 2024","51988","","","","","","Validate Council Output [LondonBoroughRedbridge]",""
"failed","Sun Oct 20 00:33:20 GMT 2024","Sun Oct 20 00:38:20 GMT 2024","300026","","","","","","Validate Council Output [SunderlandCityCouncil]",""
"passed","Sun Oct 20 00:21:08 GMT 2024","Sun Oct 20 00:22:55 GMT 2024","107842","","","","","","Validate Council Output [NorthWestLeicestershire]",""
"passed","Sun Oct 20 00:19:08 GMT 2024","Sun Oct 20 00:19:10 GMT 2024","1733","","","","","","Validate Council Output [FalkirkCouncil]",""
"failed","Sun Oct 20 00:19:16 GMT 2024","Sun Oct 20 00:20:34 GMT 2024","78799","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil]",""
"passed","Sun Oct 20 00:35:23 GMT 2024","Sun Oct 20 00:35:26 GMT 2024","2063","","","","","","Validate Council Output [TonbridgeAndMallingBC]",""
"passed","Sun Oct 20 00:19:10 GMT 2024","Sun Oct 20 00:19:10 GMT 2024","784","","","","","","Validate Council Output [FarehamBoroughCouncil]",""
"passed","Sun Oct 20 00:23:27 GMT 2024","Sun Oct 20 00:23:29 GMT 2024","1461","","","","","","Validate Council Output [SouthAyrshireCouncil]",""
"passed","Sun Oct 20 00:04:14 GMT 2024","Sun Oct 20 00:04:16 GMT 2024","1884","","","","","","Validate Council Output [DorsetCouncil]",""
"passed","Sun Oct 20 00:19:13 GMT 2024","Sun Oct 20 00:19:14 GMT 2024","1146","","","","","","Validate Council Output [MaldonDistrictCouncil]",""
"passed","Sun Oct 20 00:01:27 GMT 2024","Sun Oct 20 00:01:28 GMT 2024","495","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
