"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 29 05:35:17 GMT 2024","Tue Oct 29 05:40:17 GMT 2024","300026","","","","","","Validate Council Output [ArunCouncil]",""
"passed","Tue Oct 29 05:41:34 GMT 2024","Tue Oct 29 05:41:35 GMT 2024","921","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"failed","Tue Oct 29 06:03:24 GMT 2024","Tue Oct 29 06:08:24 GMT 2024","300008","","","","","","Validate Council Output [SouthKestevenDistrictCouncil]",""
"passed","Tue Oct 29 05:35:08 GMT 2024","Tue Oct 29 05:35:09 GMT 2024","1396","","","","","","Validate Council Output [CoventryCityCouncil]",""
"passed","Tue Oct 29 05:57:18 GMT 2024","Tue Oct 29 05:57:44 GMT 2024","26264","","","","","","Validate Council Output [NewcastleCityCouncil]",""
"passed","Tue Oct 29 06:16:36 GMT 2024","Tue Oct 29 06:17:18 GMT 2024","42740","","","","","","Validate Council Output [WokinghamBoroughCouncil]",""
"passed","Tue Oct 29 05:40:27 GMT 2024","Tue Oct 29 05:40:29 GMT 2024","1933","","","","","","Validate Council Output [CheshireEastCouncil]",""
"passed","Tue Oct 29 05:35:14 GMT 2024","Tue Oct 29 05:35:15 GMT 2024","912","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"passed","Tue Oct 29 06:16:46 GMT 2024","Tue Oct 29 06:16:46 GMT 2024","655","","","","","","Validate Council Output [YorkCouncil]",""
"passed","Tue Oct 29 05:57:22 GMT 2024","Tue Oct 29 05:57:24 GMT 2024","2423","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"passed","Tue Oct 29 05:49:08 GMT 2024","Tue Oct 29 05:49:12 GMT 2024","4023","","","","","","Validate Council Output [BristolCityCouncil]",""
"failed","Tue Oct 29 05:43:04 GMT 2024","Tue Oct 29 05:48:04 GMT 2024","300011","","","","","","Validate Council Output [EastRidingCouncil]",""
"passed","Tue Oct 29 05:41:35 GMT 2024","Tue Oct 29 05:41:38 GMT 2024","2511","","","","","","Validate Council Output [BedfordBoroughCouncil]",""
"passed","Tue Oct 29 06:13:46 GMT 2024","Tue Oct 29 06:13:48 GMT 2024","1256","","","","","","Validate Council Output [WestNorthamptonshireCouncil]",""
"passed","Tue Oct 29 05:52:45 GMT 2024","Tue Oct 29 05:52:47 GMT 2024","2629","","","","","","Validate Council Output [ElmbridgeBoroughCouncil]",""
"passed","Tue Oct 29 05:55:55 GMT 2024","Tue Oct 29 05:56:41 GMT 2024","46068","","","","","","Validate Council Output [GatesheadCouncil]",""
"passed","Tue Oct 29 05:56:34 GMT 2024","Tue Oct 29 05:56:39 GMT 2024","5542","","","","","","Validate Council Output [NewportCityCouncil]",""
"passed","Tue Oct 29 05:57:03 GMT 2024","Tue Oct 29 05:57:22 GMT 2024","18924","","","","","","Validate Council Output [NorthumberlandCouncil]",""
"passed","Tue Oct 29 05:54:15 GMT 2024","Tue Oct 29 05:54:17 GMT 2024","1974","","","","","","Validate Council Output [FarehamBoroughCouncil]",""
"passed","Tue Oct 29 06:08:25 GMT 2024","Tue Oct 29 06:08:27 GMT 2024","2554","","","","","","Validate Council Output [TonbridgeAndMallingBC]",""
"passed","Tue Oct 29 05:52:28 GMT 2024","Tue Oct 29 05:52:30 GMT 2024","1918","","","","","","Validate Council Output [HarboroughDistrictCouncil]",""
"passed","Tue Oct 29 05:35:09 GMT 2024","Tue Oct 29 05:35:10 GMT 2024","790","","","","","","Validate Council Output [AdurAndWorthingCouncils]",""
"passed","Tue Oct 29 05:57:31 GMT 2024","Tue Oct 29 05:57:51 GMT 2024","19680","","","","","","Validate Council Output [PortsmouthCityCouncil]",""
"passed","Tue Oct 29 06:03:22 GMT 2024","Tue Oct 29 06:03:24 GMT 2024","1229","","","","","","Validate Council Output [SouthGloucestershireCouncil]",""
"passed","Tue Oct 29 05:35:06 GMT 2024","Tue Oct 29 05:35:08 GMT 2024","1918","","","","","","Validate Council Output [BelfastCityCouncil]",""
"passed","Tue Oct 29 05:53:48 GMT 2024","Tue Oct 29 05:54:11 GMT 2024","22994","","","","","","Validate Council Output [EppingForestDistrictCouncil]",""
"passed","Tue Oct 29 05:52:53 GMT 2024","Tue Oct 29 05:53:51 GMT 2024","57727","","","","","","Validate Council Output [BroxtoweBoroughCouncil]",""
"passed","Tue Oct 29 05:59:14 GMT 2024","Tue Oct 29 05:59:18 GMT 2024","3701","","","","","","Validate Council Output [SouthOxfordshireCouncil]",""
"failed","Tue Oct 29 05:41:41 GMT 2024","Tue Oct 29 05:42:25 GMT 2024","43869","","","","","","Validate Council Output [EastLindseyDistrictCouncil]",""
"failed","Tue Oct 29 05:41:54 GMT 2024","Tue Oct 29 05:44:08 GMT 2024","134270","","","","","","Validate Council Output [BradfordMDC]",""
"passed","Tue Oct 29 05:57:17 GMT 2024","Tue Oct 29 05:57:18 GMT 2024","1082","","","","","","Validate Council Output [NorthLanarkshireCouncil]",""
"passed","Tue Oct 29 05:35:15 GMT 2024","Tue Oct 29 05:35:19 GMT 2024","3967","","","","","","Validate Council Output [CanterburyCityCouncil]",""
"passed","Tue Oct 29 05:57:39 GMT 2024","Tue Oct 29 05:57:42 GMT 2024","2565","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"failed","Tue Oct 29 05:35:10 GMT 2024","Tue Oct 29 05:35:12 GMT 2024","1350","","","","","","Validate Council Output [CroydonCouncil]",""
"passed","Tue Oct 29 05:52:08 GMT 2024","Tue Oct 29 05:52:58 GMT 2024","50840","","","","","","Validate Council Output [ColchesterCityCouncil]",""
"failed","Tue Oct 29 05:54:49 GMT 2024","Tue Oct 29 05:56:34 GMT 2024","105215","","","","","","Validate Council Output [KnowsleyMBCouncil]",""
"failed","Tue Oct 29 05:59:27 GMT 2024","Tue Oct 29 05:59:29 GMT 2024","1815","","","","","","Validate Council Output [StHelensBC]",""
"passed","Tue Oct 29 06:03:16 GMT 2024","Tue Oct 29 06:03:18 GMT 2024","1880","","","","","","Validate Council Output [SouthAyrshireCouncil]",""
"passed","Tue Oct 29 05:54:13 GMT 2024","Tue Oct 29 05:54:22 GMT 2024","9425","","","","","","Validate Council Output [KingstonUponThamesCouncil]",""
"passed","Tue Oct 29 05:35:09 GMT 2024","Tue Oct 29 05:35:10 GMT 2024","1546","","","","","","Validate Council Output [CrawleyBoroughCouncil]",""
